$Color
$Achievement

# Title

"title.buttons.nebula" : "星云舰"
"title.label.nebula" : "星云舰"

"title.label.discord" : "加入Discord"

"title.buttons.update" : "历史版本"
"title.buttons.achievements" : "成就"
"title.buttons.addons" : "附加插件"
"title.buttons.developersStudio" : "制作插件"
"title.buttons.marketplace" : "创意工坊"
"title.buttons.stats" : "统计数据"
"title.buttons.form" : "问题反馈"

# Certification

"certification.waiting" : "正在检测..."
"certification.waiting.detail" : "正在验证玩家的Among Us和已安装的星云舰版本"
"certification.waiting.client" : "正在验证Among Us和已安装的星云舰版本"
"certification.uncertified" : "未安装"
"certification.uncertified.detail" : "该玩家未安装星云舰模组"
"certification.uncertified.client" : "禁止加入未安装星云舰模组的游戏"
"certification.unmatchedEpoch" : "不匹配的版本"
"certification.unmatchedEpoch.detail" : "该玩家安装了不同的星云舰版本。<br>请引导他们下载你使用的版本!"
"certification.unmatchedEpoch.client" : "你安装的星云舰版本与房主不一致。<br>请询问房主获取相同版本!"
"certification.unmatchedBuild" : "不匹配的快照"
"certification.unmatchedBuild.detail" : "该玩家安装的星云舰模组版本不同，可能是其他分支。<br>请将你使用的版本发送给他们或引导他们在<b>标题界面</b>获取与你相同的版本。"
"certification.unmatchedBuild.client" : "房主安装的星云舰模组版本与你不同，可能是其他分支。<br>请从<b>标题界面</b>获取相同版本!"
"certification.unmatchedAddon" : "不匹配的插件"
"certification.unmatchedAddon.detail" : "该玩家安装的附加插件不一致(或未安装)<br>请让所有人使用相同的插件"
"certification.unmatchedAddon.client" : "该插件未安装或与房主不同<br>所有人必须使用相同的插件"
"certification.unmatchedVanilla" : "不匹配的Among Us版本"
"certification.unmatchedVanilla.detail" : "该玩家使用了不匹配的Among Us版本"
"certification.unmatchedVanilla.client" : "您与房主的Among Us版本不一致"

# UI

"ui.dialog.yes" : "是"
"ui.dialog.no" : "否"
"ui.dialog.ok" : "确定"
"ui.dialog.exit" : "退出"
"ui.dialog.search" : "搜索"
"ui.dialog.keyword" : "关键词"
"ui.common.loading" : "加载中..."
"ui.update.waitFinishing" : "等待更新..."
"ui.update.finishUpdate" : "更新完成！<br>请重启游戏"
"ui.update.autoUpdate" : "自动更新已启用"
"ui.document.tooLongNesting" : "[请求超时]"
"ui.citation.openUrl" : "点击打开链接"
"ui.meeting.leftClick" : "左击: 使用"
"ui.meeting.rightClick": "右击: 切换"
"ui.configuration.click" : "左击: 进行职业配置<br>右击: 复制职业介绍"
"ui.configuration.copied" : "复制成功!"
"ui.discordWebhook.title" : "Discord Webhook"
"ui.discordWebhook.current" : "添加URL"
"ui.discordWebhook.urlFromClipboard" : "粘贴URL"
"ui.discordWebhook.failedPasteUrl" : "Webhook URL粘贴失败"
