"achievement.agent.common1.title" :"任务卷王",
"achievement.agent.common1.goal" :"一局完成8个以上的任务，并任务胜利。",
"achievement.agent.common1.cond" :"提示：免除自身3以下的任务+任务总量",

"achievement.agent.another1.title" :"拖后腿小能手",
"achievement.agent.another1.goal" :"其他船员先比代理人完成任务",
"achievement.agent.another1.cond" :"",
"achievement.agent.another1.flavor" :"“你总是慢悠悠的，仿佛在度假。" ——摘自一篇匿名文章。",

"achievement.agent.common2.title" :"闪电手速",
"achievement.agent.common2.goal" :"15秒内完成两个任务。",
"achievement.agent.common2.cond" :"",

"achievement.agent.challenge.title" :"任务狂魔",
"achievement.agent.challenge.goal" :"完成5个以上的代理任务，并任务胜利。",
"achievement.agent.challenge.cond" :"提示：免除自身3以下的任务",

"achievement.bait.common1.title" :"自爆式诱饵",
"achievement.bait.common1.goal" :"被击杀然后强制让凶手报告。",
"achievement.bait.common1.cond" :"",
 
"achievement.bait.another1.title" :"死于套路",
"achievement.bait.another1.goal" :"非正常击杀导致死亡（如放逐）",
"achievement.bait.another1.cond" :"",

"achievement.bait.challenge.title" :"自导自演",
"achievement.bait.challenge.goal" :"凶手在报告自己死亡的会议上被驱逐。",
"achievement.bait.challenge.cond" :"",

"achievement.busker.common1.title" :"戏精附体",
"achievement.busker.common1.goal" :"假死然后复活。",
"achievement.busker.common1.cond" :"",
 
"achievement.busker.another1.title" :"演砸了",
"achievement.busker.another1.goal" :"假死后复活失败。",
"achievement.busker.another1.cond" :"",

"achievement.busker.challenge.title" :"诈尸高手",
"achievement.busker.challenge.goal" :"假死并且复活后在两秒内发起报告。",
"achievement.busker.challenge.cond" :"提示：报告自身尸体跟使用紧急按钮不算",
"achievement.busker.challenge.flavor" :"“只有刺激才能保证心脏的跳动。"——没有署名的回忆录",

"achievement.climber.common1.title" :"初来乍到",
"achievement.climber.common1.goal" :"使用钩索移动5米。",
"achievement.climber.common1.cond" :"",
"achievement.climber.common1.flavor" :"攀上最高峰的一小步。",

"achievement.climber.common2.title" :"登高望远",
"achievement.climber.common2.goal" :"累计使用钩索移动1千米以上。",
"achievement.climber.common2.cond" :"",
"achievement.climber.common2.flavor" :"“一步一步攀上世界之巅！"<br>“那么现在开始吧！"",

